id,name,glottocode,year,map_name_full,note,year_comment
411,Woods Cree,wood1236,traditional,Fig. 1,,Time of European Contact
412,Xinca,xinc1237,traditional,Fig. 1,,Time of European Contact
413,Xixime,,traditional,Fig. 1,,Time of European Contact
414,Yakama,yaki1237,traditional,Fig. 1,,Time of European Contact
415,Yamasee,yama1265,traditional,Fig. 1,,Time of European Contact
416,Yana,yana1271,traditional,Fig. 1,,Time of European Contact
417,Yaqui,yaqu1251,traditional,Fig. 1,,Time of European Contact
418,Yucatec Maya,yuca1254,traditional,Fig. 1,,Time of European Contact
419,Yuchi,yuch1247,traditional,Fig. 1,,Time of European Contact
420,Yurok,yuro1248,traditional,Fig. 1,,Time of European Contact
421,Zacateco,,traditional,Fig. 1,,Time of European Contact
422,Zuni,zuni1245,traditional,Fig. 1,,Time of European Contact
