id,name,glottocode,year,map_name_full,note,year_comment
95,Dakota,dako1258,traditional,Fig. 1,,Time of European Contact
96,Degexit'an,dege1248,traditional,Fig. 1,,Time of European Contact
97,Ditidaht,diti1235,traditional,Fig. 1,,Time of European Contact
98,Dogrib,dogr1252,traditional,Fig. 1,,Time of European Contact
99,Dorasque,dora1242,traditional,Fig. 1,,Time of European Contact
100,East Cree,nort1552,traditional,Fig. 1,,Time of European Contact
101,Eastern Abenaki,east2544,traditional,Fig. 1,,Time of European Contact
102,Eastern Canadian Inuktitut,east2534,traditional,Fig. 1,,Time of European Contact
103,Eastern Durango Nahuatl,east2695,traditional,Fig. 1,,Time of European Contact
104,Eastern Highland Otomi,east2556,traditional,Fig. 1,,Time of European Contact
105,Eastern Keres,east1472,traditional,Fig. 1,,Time of European Contact
106,Eastern Nahuatl,east2720,traditional,Fig. 1,,Time of European Contact
107,Eastern Ojibwa,east2542,traditional,Fig. 1,,Time of European Contact
108,Eastern Pomo,east2545,traditional,Fig. 1,,Time of European Contact
109,Eel River Athabaskan,wail1244,traditional,Fig. 1,,Time of European Contact
110,Esselen,esse1238,traditional,Fig. 1,,Time of European Contact
111,Eudeve,eude1234,traditional,Fig. 1,,Time of European Contact
112,Eyak,eyak1241,traditional,Fig. 1,,Time of European Contact
113,Eyeish,,traditional,Fig. 1,,Time of European Contact
114,Fox,mesk1242,traditional,Fig. 1,,Time of European Contact
115,Galice,gali1261,traditional,Fig. 1,,Time of European Contact
116,Gros Ventre,gros1243,traditional,Fig. 1,,Time of European Contact
117,Guachichil,,traditional,Fig. 1,,Time of European Contact
118,Guaicura,guai1237,traditional,Fig. 1,,Time of European Contact
119,Guale,gual1239,traditional,Fig. 1,,Time of European Contact
120,Guarijio,huar1255,traditional,Fig. 1,,Time of European Contact
121,Guasave,,traditional,Fig. 1,,Time of European Contact
122,Guazoco-Tocaste,,traditional,Fig. 1,,Time of European Contact
123,Gwich'in,gwic1235,traditional,Fig. 1,,Time of European Contact
124,Haida,haid1248,traditional,Fig. 1,,Time of European Contact
125,Haisla,hais1244,traditional,Fig. 1,,Time of European Contact
126,Halkomelem,halk1245,traditional,Fig. 1,,Time of European Contact
127,Han,hann1241,traditional,Fig. 1,,Time of European Contact
128,Havasupai-Walapai-Yavapai,hava1248,traditional,Fig. 1,,Time of European Contact
129,Heiltsuk-Oowekyala,heil1246,traditional,Fig. 1,,Time of European Contact
130,Hidatsa,hida1246,traditional,Fig. 1,,Time of European Contact
131,Highland Zoque,zoqu1261,traditional,Fig. 1,,Time of European Contact
132,Ho-Chunk,hoch1243,traditional,Fig. 1,,Time of European Contact
133,Holikachuk,holi1241,traditional,Fig. 1,,Time of European Contact
134,Hopi,hopi1249,traditional,Fig. 1,,Time of European Contact
135,Houma,,traditional,Fig. 1,,Time of European Contact
136,Huastec,huas1242,traditional,Fig. 1,,Time of European Contact
137,Huavean,huav1256,traditional,Fig. 1,,Time of European Contact
138,Huichol,huic1243,traditional,Fig. 1,,Time of European Contact
139,Huite,opat1247,traditional,Fig. 1,,Time of European Contact
140,Hupa,hupa1239,traditional,Fig. 1,,Time of European Contact
141,Huron,wyan1247,traditional,Fig. 1,,Time of European Contact
142,Ineseño,ines1240,traditional,Fig. 1,,Time of European Contact
143,Interior Chumash,cent2139,traditional,Fig. 1,,Time of European Contact
144,Iowa-Otoe,iowa1245,traditional,Fig. 1,,Time of European Contact
145,Ipai,ipai1240,traditional,Fig. 1,,Time of European Contact
146,Island Chumash,cruz1243,traditional,Fig. 1,,Time of European Contact
147,Itzá,itza1241,traditional,Fig. 1,,Time of European Contact
148,Ixil,ixil1251,traditional,Fig. 1,,Time of European Contact
149,Ixtenco Otomi,ixte1237,traditional,Fig. 1,,Time of European Contact
150,Jaega,,traditional,Fig. 1,,Time of European Contact
151,Jalisco Otomi,otom1300,traditional,Fig. 1,,Time of European Contact
152,Jicarilla,jica1244,traditional,Fig. 1,,Time of European Contact
153,Jumano,juma1248,traditional,Fig. 1,,Time of European Contact
154,K'iche',kich1262,traditional,Fig. 1,,Time of European Contact
155,Kalapuya,kala1400,traditional,Fig. 1,,Time of European Contact
156,Kalispel,kali1309,traditional,Fig. 1,,Time of European Contact
157,Kansa,kans1243,traditional,Fig. 1,,Time of European Contact
158,Kaqchikel,kaqc1270,traditional,Fig. 1,,Time of European Contact
159,Karankawa,kara1289,traditional,Fig. 1,,Time of European Contact
160,Karkin,kark1259,traditional,Fig. 1,,Time of European Contact
161,Karuk,karo1304,traditional,Fig. 1,,Time of European Contact
162,Kaska,kask1239,traditional,Fig. 1,,Time of European Contact
163,Kaskan,,traditional,Fig. 1,,Time of European Contact
164,Kathalmet,kath1253,traditional,Fig. 1,,Time of European Contact
165,Kato,kato1244,traditional,Fig. 1,,Time of European Contact
166,"Kawaiisu",kawa1283,traditional,Fig. 1,,Time of European Contact
167,Kekchí,kekc1242,traditional,Fig. 1,,Time of European Contact
168,Kickapoo,kick1244,traditional,Fig. 1,,Time of European Contact
169,Kiliwa,kili1268,traditional,Fig. 1,,Time of European Contact
170,Kiowa,kiow1266,traditional,Fig. 1,,Time of European Contact
171,Kiowa Apache,kiow1264,traditional,Fig. 1,,Time of European Contact
172,Kitsai,kits1249,traditional,Fig. 1,,Time of European Contact
173,Klamath-Modoc,klam1254,traditional,Fig. 1,,Time of European Contact
174,Koasati,koas1236,traditional,Fig. 1,,Time of European Contact
175,Konkow,nort2951,traditional,Fig. 1,,Time of European Contact
176,Konomihu,kono1241,traditional,Fig. 1,,Time of European Contact
177,Koyukon,koyu1237,traditional,Fig. 1,,Time of European Contact
178,Kuna,sanb1242,traditional,Fig. 1,,Time of European Contact
179,Kwak'wala,kwak1269,traditional,Fig. 1,,Time of European Contact
180,Lagunero,,traditional,Fig. 1,,Time of European Contact
181,Lakota,lako1247,traditional,Fig. 1,,Time of European Contact
182,Laurentian,laur1250,traditional,Fig. 1,,Time of European Contact
183,Lenca Honduras,lenc1242,traditional,Fig. 1,,Time of European Contact
184,Lenca Salvador,lenc1243,traditional,Fig. 1,,Time of European Contact
185,Lillooet,lill1248,traditional,Fig. 1,,Time of European Contact
186,Lipan,lipa1241,traditional,Fig. 1,,Time of European Contact
187,Loup,loup1243,traditional,Fig. 1,,Time of European Contact
188,Lower Chehalis,lowe1427,traditional,Fig. 1,,Time of European Contact
189,Lower Chinook,chin1286,traditional,Fig. 1,,Time of European Contact
190,Lower Tanana,lowe1425,traditional,Fig. 1,,Time of European Contact
191,Lowland Oaxaca Chontal,lowl1260,traditional,Fig. 1,,Time of European Contact
192,Luiseño,luis1253,traditional,Fig. 1,,Time of European Contact
193,Lushootseed,lush1252,traditional,Fig. 1,,Time of European Contact
194,Mahican,mahi1248,traditional,Fig. 1,,Time of European Contact
195,Maidu,nort2952,traditional,Fig. 1,,Time of European Contact
196,Makah,maka1318,traditional,Fig. 1,,Time of European Contact
197,Malicite-Passamaquoddy,male1292,traditional,Fig. 1,,Time of European Contact
198,Maléku Jaíka,male1297,traditional,Fig. 1,,Time of European Contact
199,Mam,mamm1241,traditional,Fig. 1,,Time of European Contact
200,Mandan,mand1446,traditional,Fig. 1,,Time of European Contact
201,Mangue,moni1237,traditional,Fig. 1,,Time of European Contact
202,Maratino,mara1266,traditional,Fig. 1,,Time of European Contact
203,Maricopa,mari1440,traditional,Fig. 1,,Time of European Contact
204,Matagalpa,mata1288,traditional,Fig. 1,,Time of European Contact
205,Mattole,matt1238,traditional,Fig. 1,,Time of European Contact
206,Mayo,mayo1264,traditional,Fig. 1,,Time of European Contact
207,Meherrin,mehe1242,traditional,Fig. 1,,Time of European Contact
208,Menominee,meno1252,traditional,Fig. 1,,Time of European Contact
209,Mephaa,meph1234,traditional,Fig. 1,,Time of European Contact
210,Mescalero-Chiricahua,mesc1238,traditional,Fig. 1,,Time of European Contact
211,Mezquital Otomi,mezq1235,traditional,Fig. 1,,Time of European Contact
212,Miami,nucl1653,traditional,Fig. 1,,Time of European Contact
213,Michoacán Nahuatl,mich1245,traditional,Fig. 1,,Time of European Contact
214,Micmac,mikm1235,traditional,Fig. 1,,Time of European Contact
215,Mikasuki,mika1239,traditional,Fig. 1,,Time of European Contact
216,"Mohawk",moha1258,traditional,Fig. 1,,Time of European Contact
217,Mohegan-Pequot-Narragansett,mohe1244,traditional,Fig. 1,,Time of European Contact
218,Mojave,moha1256,traditional,Fig. 1,,Time of European Contact
219,Molala,mola1238,traditional,Fig. 1,,Time of European Contact
220,Mono,mono1275,traditional,Fig. 1,,Time of European Contact
221,Montagnais,mont1268,traditional,Fig. 1,,Time of European Contact
222,Mopán Maya,mopa1243,traditional,Fig. 1,,Time of European Contact
223,Munsee Delaware,muns1251,traditional,Fig. 1,,Time of European Contact
224,Mískito,misk1235,traditional,Fig. 1,,Time of European Contact
225,Nanticoke-Conoy,nant1249,traditional,Fig. 1,,Time of European Contact
226,Naolan,naol1234,traditional,Fig. 1,,Time of European Contact
227,Naskapi,nask1242,traditional,Fig. 1,,Time of European Contact
228,Nass-Gitksan,gitx1241,traditional,Fig. 1,,Time of European Contact
229,Navajo,nava1243,traditional,Fig. 1,,Time of European Contact
230,Nawathinehena,nawa1259,traditional,Fig. 1,,Time of European Contact
231,Neutral Iroquoian,nort2947,traditional,Fig. 1,,Time of European Contact
232,Nez Perce,nezp1238,traditional,Fig. 1,,Time of European Contact
233,Ngäbere,ngab1239,traditional,Fig. 1,,Time of European Contact
234,Nicola,nico1265,traditional,Fig. 1,,Time of European Contact
235,Nisenan,nise1244,traditional,Fig. 1,,Time of European Contact
236,Nooksack,nook1247,traditional,Fig. 1,,Time of European Contact
237,North Alaskan Inupiatun,nort2943,traditional,Fig. 1,,Time of European Contact
238,North Slavey,nort2942,traditional,Fig. 1,,Time of European Contact
239,Northeastern Pomo,nort2967,traditional,Fig. 1,,Time of European Contact
240,"NorthernPaiute",nort2954,traditional,Fig. 1,,Time of European Contact
241,Northern Alta Mixtec,nort3199,traditional,Fig. 1,,Time of European Contact
242,Northern Baja Mixtec,nort3200,traditional,Fig. 1,,Time of European Contact
243,Northern Core Zapotec,nort2987,traditional,Fig. 1,,Time of European Contact
244,Northern Ohlone,nort2969,traditional,Fig. 1,,Time of European Contact
245,Northern Pomo,nort2966,traditional,Fig. 1,,Time of European Contact
246,Northern Popolocan,popo1294,traditional,Fig. 1,,Time of European Contact
247,Northern Puebla Nahuatl,nort2957,traditional,Fig. 1,,Time of European Contact
248,Northern Sierra Miwok,nort2968,traditional,Fig. 1,,Time of European Contact
249,Northern Straits,stra1244,traditional,Fig. 1,,Time of European Contact
