ID,Name,Description,Contributor,Citation,Glottocode,Year,Source,Media_ID,Map_Name
85,Comox,,,,como1259,traditional,haynie2019modern,features,Fig. 1
86,Concho,,,,conc1237,traditional,haynie2019modern,features,Fig. 1
87,Cora,,,,cora1260,traditional,haynie2019modern,features,Fig. 1
88,Cotoname,,,,coto1248,traditional,haynie2019modern,features,Fig. 1
89,Cowlitz,,,,cowl1242,traditional,haynie2019modern,features,Fig. 1
90,Creek,,,,cree1270,traditional,haynie2019modern,features,Fig. 1
91,Crow,,,,crow1244,traditional,haynie2019modern,features,Fig. 1
92,Cuicatec,,,,cuic1234,traditional,haynie2019modern,features,Fig. 1
93,Cuitlatec,,,,cuit1236,traditional,haynie2019modern,features,Fig. 1
94,Cusabo,,,,cusa1237,traditional,haynie2019modern,features,Fig. 1
95,Dakota,,,,dako1258,traditional,haynie2019modern,features,Fig. 1
96,Degexit'an,,,,dege1248,traditional,haynie2019modern,features,Fig. 1
97,Ditidaht,,,,diti1235,traditional,haynie2019modern,features,Fig. 1
98,Dogrib,,,,dogr1252,traditional,haynie2019modern,features,Fig. 1
99,Dorasque,,,,dora1242,traditional,haynie2019modern,features,Fig. 1
100,East Cree,,,,nort1552,traditional,haynie2019modern,features,Fig. 1
101,Eastern Abenaki,,,,east2544,traditional,haynie2019modern,features,Fig. 1
102,Eastern Canadian Inuktitut,,,,east2534,traditional,haynie2019modern,features,Fig. 1
103,Eastern Durango Nahuatl,,,,east2695,traditional,haynie2019modern,features,Fig. 1
104,Eastern Highland Otomi,,,,east2556,traditional,haynie2019modern,features,Fig. 1
105,Eastern Keres,,,,east1472,traditional,haynie2019modern,features,Fig. 1
106,Eastern Nahuatl,,,,east2720,traditional,haynie2019modern,features,Fig. 1
107,Eastern Ojibwa,,,,east2542,traditional,haynie2019modern,features,Fig. 1
108,Eastern Pomo,,,,east2545,traditional,haynie2019modern,features,Fig. 1
109,Eel River Athabaskan,,,,wail1244,traditional,haynie2019modern,features,Fig. 1
110,Esselen,,,,esse1238,traditional,haynie2019modern,features,Fig. 1
111,Eudeve,,,,eude1234,traditional,haynie2019modern,features,Fig. 1
112,Eyak,,,,eyak1241,traditional,haynie2019modern,features,Fig. 1
113,Eyeish,,,,,traditional,haynie2019modern,features,Fig. 1
114,Fox,,,,mesk1242,traditional,haynie2019modern,features,Fig. 1
115,Galice,,,,gali1261,traditional,haynie2019modern,features,Fig. 1
116,Gros Ventre,,,,gros1243,traditional,haynie2019modern,features,Fig. 1
117,Guachichil,,,,,traditional,haynie2019modern,features,Fig. 1
118,Guaicura,,,,guai1237,traditional,haynie2019modern,features,Fig. 1
119,Guale,,,,gual1239,traditional,haynie2019modern,features,Fig. 1
120,Guarijio,,,,huar1255,traditional,haynie2019modern,features,Fig. 1
121,Guasave,,,,,traditional,haynie2019modern,features,Fig. 1
122,Guazoco-Tocaste,,,,,traditional,haynie2019modern,features,Fig. 1
123,Gwich'in,,,,gwic1235,traditional,haynie2019modern,features,Fig. 1
124,Haida,,,,haid1248,traditional,haynie2019modern,features,Fig. 1
125,Haisla,,,,hais1244,traditional,haynie2019modern,features,Fig. 1
126,Halkomelem,,,,halk1245,traditional,haynie2019modern,features,Fig. 1
127,Han,,,,hann1241,traditional,haynie2019modern,features,Fig. 1
128,Havasupai-Walapai-Yavapai,,,,hava1248,traditional,haynie2019modern,features,Fig. 1
129,Heiltsuk-Oowekyala,,,,heil1246,traditional,haynie2019modern,features,Fig. 1
130,Hidatsa,,,,hida1246,traditional,haynie2019modern,features,Fig. 1
131,Highland Zoque,,,,zoqu1261,traditional,haynie2019modern,features,Fig. 1
132,Ho-Chunk,,,,hoch1243,traditional,haynie2019modern,features,Fig. 1
133,Holikachuk,,,,holi1241,traditional,haynie2019modern,features,Fig. 1
134,Hopi,,,,hopi1249,traditional,haynie2019modern,features,Fig. 1
135,Houma,,,,,traditional,haynie2019modern,features,Fig. 1
